smiles,cano_smiles,CMC,ST,KOW,i,tox_pred_label_sum
FC(F)(F)C(I)COI,FC(F)(F)C(I)COI,0.8894513,30.164587,2.164976,0,0.0
NC(=O)C1CCC(F)(F)CC(F)(C(F)(F)C(F)F)CC1,NC(=O)C1CCC(F)(F)CC(F)(C(F)(F)C(F)F)CC1,-0.6638652,27.081411,2.5114937,0,0.0
NC(CC(=O)OC(F)(F)F)C(F)(F)F,NC(CC(=O)OC(F)(F)F)C(F)(F)F,0.29988408,21.489246,1.5461524,0,0.0
O=C(O)OCC(F)(F)F,O=C(O)OCC(F)(F)F,0.617743,25.138083,0.80844223,0,0.0
CC(CO)C(F)(F)C(F)(F)F,CC(CO)C(F)(F)C(F)(F)F,0.36472175,20.65169,1.8546209,0,0.0
CCOC(=O)C(F)(C(=O)OC)C(F)(F)F,CCOC(=O)C(F)(C(=O)OC)C(F)(F)F,-0.20515397,24.276968,1.7388833,0,0.0
CCCC(C)(F)[PH](F)(F)C(F)(F)F,CCCC(C)(F)[PH](F)(F)C(F)(F)F,0.82029027,17.850552,3.1915646,0,0.0
Nc1cc(F)nc(C(F)(F)F)c1,Nc1cc(F)nc(C(F)(F)F)c1,0.25419056,29.133917,1.7684292,0,0.0
NC(=O)c1c(F)c2cccc(F)c2n1C(F)(F)F,NC(=O)c1c(F)c2cccc(F)c2n1C(F)(F)F,-0.5086969,36.35166,2.0846515,0,0.0
NCC(NC(=O)c1ccccc1)C(F)(F)C(F)F,NCC(NC(=O)c1ccccc1)C(F)(F)C(F)F,0.026728535,37.037518,1.3830365,0,0.0
O=C(O)CC(F)(F)F,O=C(O)CC(F)(F)F,0.6478554,23.828909,0.6491827,0,0.0
COC(=O)C(I)C(F)(F)F,COC(=O)C(I)C(F)(F)F,0.50419825,28.284445,1.9219757,0,0.0
OS12CC=C1C(F)(F)C(F)(F)C2,OS12CC=C1C(F)(F)C(F)(F)C2,-0.17339806,29.191822,0.30919635,0,0.0
O=C([O-])CC(c1ccccc1)C(F)(F)F,O=C([O-])CC(c1ccccc1)C(F)(F)F,-0.102058515,33.12784,2.3620594,0,0.0
CC(O)(CC(=O)O)C(F)(F)C(F)(F)F,CC(O)(CC(=O)O)C(F)(F)C(F)(F)F,-0.24915235,26.124655,1.0324147,0,0.0
Fc1sc2c(c1F)C(F)(F)CC(F)O2,Fc1sc2c(c1F)C(F)(F)CC(F)O2,-0.5012373,25.223207,3.1490908,0,0.0
OCCOO[C@H](F)C(F)(F)F,OCCOO[C@H](F)C(F)(F)F,1.2994833,25.428463,0.71548873,0,0.0
CC(Br)C(=O)OCC(F)(F)F,CC(Br)C(=O)OCC(F)(F)F,0.5246209,27.971252,2.1066685,0,0.0
COC(=O)C(F)(F)F,COC(=O)C(F)(F)F,0.5975746,19.644398,0.8549572,0,0.0
C=CCC(=O)C(F)(F)F,C=CCC(=O)C(F)(F)F,0.6326604,20.926132,1.3342121,0,0.0
COC(F)(OC(F)(F)C(=O)Nc1ccc(C)c(C)c1)C(=O)[O-],COC(F)(OC(F)(F)C(=O)Nc1ccc(C)c(C)c1)C(=O)[O-],0.098879695,36.697,2.6035242,0,0.0
OCc1ccnc(C(F)(F)F)c1,OCc1ccnc(C(F)(F)F)c1,0.09349161,34.205986,1.0759231,0,0.0
O=C(CO)C(F)(F)Br,O=C(CO)C(F)(F)Br,0.82048607,31.798962,0.5294952,0,0.0
COC(=O)C(F)OC(F)(F)F,COC(=O)C(F)OC(F)(F)F,0.6369718,21.017803,1.062859,0,0.0
CCOP(=O)(Cc1cc(F)ccc1Cl)C(F)(F)F,CCOP(=O)(Cc1cc(F)ccc1Cl)C(F)(F)F,-0.23608045,32.644325,3.0212598,0,0.0
O=C(N(O)CCNC(=O)C(F)(F)F)N1CCC1,O=C(N(O)CCNC(=O)C(F)(F)F)N1CCC1,-0.1916486,54.09151,-0.10163913,0,0.0
CC(CC(F)(F)F)C(=O)O,CC(CC(F)(F)F)C(=O)O,0.5260656,24.85377,1.4294169,0,0.0
O=C1CC(C(F)(F)F)(C(F)(F)F)NO1,O=C1CC(C(F)(F)F)(C(F)(F)F)NO1,-0.23948261,24.361736,1.4681845,0,0.0
O=S(=O)(OC1CC1)C(F)(F)F,O=S(=O)(OC1CC1)C(F)(F)F,0.43670315,31.913568,1.5631764,0,0.0
OCCC(F)(F)C(F)C(F)F,OCCC(F)(F)C(F)C(F)F,0.4340566,22.36673,1.1482909,0,0.0
CC1(F)COC(O)C(F)(F)O1,CC1(F)COC(O)C(F)(F)O1,0.18998238,23.960178,0.8023119,0,0.0
CCCCCC(CO)(CC(=O)OCC)C(F)(F)F,CCCCCC(CO)(CC(=O)OCC)C(F)(F)F,0.37912053,29.225246,3.4780185,0,0.0
NS(=O)(=O)C(F)(F)C(F)(F)F,NS(=O)(=O)C(F)(F)C(F)(F)F,0.23487441,27.288319,1.0824037,0,0.0
